[2021-09-28 16:16:32] [INFO] [common.py:74] <module>: Initializing the common module.
[2021-09-28 16:16:32] [INFO] [common.py:134] <module>: Changing the recursion limit from 1000 to 1000000 at the user's request.
[2021-09-28 16:16:32] [INFO] [project.py:33] <module>: Loading libclang from "/usr/lib/x86_64-linux-gnu/libclang-10.so.1".
[2021-09-28 16:16:32] [INFO] [project.py:42] <module>: Loaded libclang successfully.
[2021-09-28 16:16:32] [INFO] [database.py:34] __init__: Connecting to the database with the following configurations: {'host': '127.0.0.1', 'port': '3306', 'user': 'admin', 'password': '', 'database': 'software', 'sql_mode': 'ONLY_FULL_GROUP_BY,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'}
[2021-09-28 16:16:32] [INFO] [database.py:42] __init__: Autocommit is False.
[2021-09-28 16:16:32] [INFO] [insert_alerts_in_database.py:40] insert_alerts_in_database: Found the following SATs: {'Cppcheck': 1, 'Flawfinder': 2}
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Glibc" (glibc).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2021-09-28 16:16:32] [INFO] [project.py:126] get_project_list_from_config: Loading the project "Linux Kernel" (kernel) with the following configurations: {'short_name': 'kernel', 'database_id': 2, 'database_name': 'kernel', 'github_data_name': 'linux', 'vendor_id': 33, 'product_id': 47, 'url_pattern': 'linux|kernel|redhat', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': '/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux', 'output_directory_path': 'output/final', 'scrape_all_branches': False}
[2021-09-28 16:16:32] [INFO] [project.py:87] __init__: Loaded the project "Linux Kernel" located in "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux".
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2021-09-28 16:16:33] [INFO] [sats.py:224] __init__: Loaded Cppcheck version 1.90.
[2021-09-28 16:16:33] [INFO] [sats.py:335] __init__: Loaded Flawfinder version 2.0.10.
[2021-09-28 16:16:33] [INFO] [sats.py:105] get_sat_info_from_config: Ignoring the SAT "Cppcheck".
[2021-09-28 16:16:33] [INFO] [insert_alerts_in_database.py:95] insert_alerts_in_database: Starting the insertion of 1459 CSV alert files.
[2021-09-29 02:57:19] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 21 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-87-9566d6742852c527bf5af38af5cbb878dad75705.csv.zip" (after).
[2021-09-29 03:50:52] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 22 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-670-27b87fe52baba0a55e9723030e76fce94fabcea4-1.csv.zip" (before).
[2021-09-29 04:11:42] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 23 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-86-8d0207652cbe27d1f962050737848e5ad4671958.csv.zip" (after).
[2021-09-29 05:09:15] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 24 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-67-bc3b94c31d65e761ddfe150d02932c65971b74e2-1.csv.zip" (before).
[2021-09-29 05:10:26] [WARNING] [insert_alerts_in_database.py:132] insert_alerts_in_database: Skipping the patch with the commit 137f7df8cead00688524c82360930845396b8a2 (after, "flawfinder-85-137f7df8cead00688524c82360930845396b8a21.csv.zip") in the project "Linux Kernel" since it does not exist in the database.
[2021-09-29 05:10:26] [WARNING] [insert_alerts_in_database.py:132] insert_alerts_in_database: Skipping the patch with the commit 7b0c8fcff47a885743125dd843db64af41af5a6 (before, "flawfinder-669-7b0c8fcff47a885743125dd843db64af41af5a61-1.csv.zip") in the project "Linux Kernel" since it does not exist in the database.
[2021-09-29 05:10:26] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 27 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-84-086ba77a6db00ed858ff07451bedee197df868c9.csv.zip" (after).
[2021-09-29 06:56:41] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 28 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-668-192d7a4667c6d11d1a174ec4cad9a3c5d5f9043c-1.csv.zip" (before).
[2021-09-29 07:16:59] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 29 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-83-c27a3e4d667fdcad3db7b104f75659478e0c68d8.csv.zip" (after).
[2021-09-29 10:07:00] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 30 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-667-3c92900d9a4afb176d3de335dc0da0198660a244-1.csv.zip" (before).
