Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,scoreboard.c,server/scoreboard.c,2,16,1,85,455,77,3,3,3,1,19,2,13,1,0,26,157,6,22,608,77,343,80,187,63,96,38,97,4,17,80,153,209,52,0,157,8,8,10,3,3,22,1,3,4549501,0,65,65,72,30
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,scoreboard.h,include/scoreboard.h,0,0,0,30,120,113,0,0,0,0,0,0,0,0,0,0,0,0,0,238,30,78,75,0,113,6,38,0,0,0,0,66,67,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_ct_log_config.c,modules/ssl/ssl_ct_log_config.c,5,33,1,61,335,23,7,7,8,3,38,5,33,1,0,10,54,5,13,419,61,326,62,216,23,0,9,69,7,23,1619,158,208,51,0,157,24,24,26,14,2,11,1,2,6422152,0,74,73,81,38
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_ct_log_config.h,modules/ssl/ssl_ct_log_config.h,0,0,0,9,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,25,24,0,18,0,8,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_ct_sct.c,modules/ssl/ssl_ct_sct.c,7,45,5,44,227,39,10,10,11,3,54,7,44,5,0,5,52,10,22,300,44,222,29,161,39,0,5,48,10,28,612,107,137,24,0,113,32,32,33,7,4,10,2,4,44579052,0,52,52,54,15
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_ct_sct.h,modules/ssl/ssl_ct_sct.h,0,0,0,12,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,64,12,28,28,0,17,0,9,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_ct_util.c,modules/ssl/ssl_ct_util.c,3,20,0,117,635,36,5,5,6,1,23,3,20,0,0,29,173,6,14,781,110,571,139,346,36,59,12,108,4,12,134,325,400,98,0,302,63,63,63,5,3,25,1,3,856900,0,157,157,167,48
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_ct_util.h,modules/ssl/ssl_ct_util.h,0,0,0,25,62,16,0,0,0,0,0,0,0,0,0,0,0,0,0,102,25,58,0,0,16,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_engine_config.c,modules/ssl/ssl_engine_config.c,3,17,1,338,1491,104,3,3,3,1,21,3,16,1,0,73,506,7,24,1925,305,1141,276,665,95,311,82,422,6,25,350,514,697,190,0,507,20,20,20,11,4,53,1,4,11124727,0,236,236,250,130
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ssl_engine_init.c,modules/ssl/ssl_engine_init.c,7,38,8,266,1252,292,7,7,8,3,53,7,31,7,0,28,231,8,22,1791,243,902,177,587,241,335,93,240,9,34,8587,379,544,126,1,417,25,25,29,11,4,44,2,4,82436138,0,205,204,233,88
