Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,hidden_proto(enum nss_status),resolv\nss_dns\dns-host.c,,,,12,87,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,109,12,87,18,63,10,0,0,12.0,266.0,2.0,45.0,62,10,0,52,17.0,12.0,19.0,9.0,13.0,,,,,12.0,,3,12.0,,0.11,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,hidden_proto(enum nss_status),resolv\nss_dns\dns-host.c,,,,13,148,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,166,13,135,31,95,5,11,4,18.0,584.0,3.0,77.0,96,19,0,77,21.0,19.0,27.0,12.0,18.0,,,,,18.0,,3,18.0,,0.04,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Struct,host_data,resolv\nss_dns\dns-host.c,0.0,0.0,0.0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,0,7,5,0,1,0,0,,,,,4,4,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.14,0.0,0.0,0.0,0.0
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Struct,host_data,resolv\nss_dns\dns-host.c,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,0,6,4,0,1,0,0,,,,,3,3,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.17,0.0,0.0,0.0,0.0
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_query.c,,,,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12,1,11,8,2,4,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.36,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_query.c,,,,16,138,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,214,16,133,23,100,65,3,2,8.0,55488.0,5.0,61.0,88,10,0,78,27.0,25.0,54.0,14.0,19.0,,,,,18.0,,4,17.0,,0.49,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_query.c,,,,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12,1,11,8,2,4,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.36,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_query.c,,,,3,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,52,3,38,17,18,9,3,2,5.0,4.0,1.0,14.0,17,3,0,14,4.0,4.0,4.0,4.0,5.0,,,,,5.0,,2,5.0,,0.24,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_query.c,,,,2,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,38,2,36,6,24,0,0,0,9.0,39.0,2.0,25.0,34,3,3,28,10.0,10.0,13.0,7.0,12.0,,,,,12.0,,3,12.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_send.c,,,,6,31,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,55,6,31,11,22,18,0,0,3.0,8.0,1.0,22.0,29,6,0,23,10.0,10.0,12.0,8.0,12.0,,,,,12.0,,2,12.0,,0.58,,,,
