Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vmx.c,xen/arch/x86/hvm/vmx/vmx.c,4,25,3,449,2484,310,6,4,6,2,30,4,25,3,0,92,509,6,25,3202,449,2423,393,1678,310,0,61,677,7,100,175928,1181,1737,304,2,1431,119,54,131,63,5,109,1,5,2276802938,0,516,361,583,263
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vsprintf.c,xen/common/vsprintf.c,4,34,2,81,495,167,10,9,12,2,40,4,34,2,0,14,86,6,11,727,81,482,64,344,167,0,13,56,4,8,5842523,253,394,57,3,334,52,38,60,18,5,26,2,5,767052,0,146,129,162,38
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,x86_emulate.c,xen/arch/x86/x86_emulate/x86_emulate.c,12,139,25,368,3928,769,134,114,139,74,158,12,135,25,0,24,215,9,64,4617,365,3436,628,2789,766,95,420,154,6,86,1000003018,4990,6939,573,182,6184,3073,2612,3161,1700,8,32,1,8,71498266911,0,3224,2738,3331,1798
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,x86_emulate.h,xen/arch/x86/x86_emulate/x86_emulate.h,0,0,0,45,205,203,0,0,0,0,0,0,0,0,0,0,0,0,0,430,45,196,191,0,203,0,9,0,0,0,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xc_domain.c,tools/libxc/xc_domain.c,3,19,0,390,1771,63,4,4,4,1,23,3,19,0,0,89,660,7,26,2223,390,1724,746,960,61,37,15,789,9,29,242,1622,1804,473,0,1331,25,25,30,13,3,67,1,3,41803800,0,368,364,391,121
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xc_domain_restore.c,tools/libxc/xc_domain_restore.c,15,90,12,315,1798,308,28,27,32,12,117,15,90,12,0,19,274,14,89,2399,315,1780,372,1160,308,2,18,266,14,99,1009080552,1435,1769,340,3,1426,239,236,261,83,7,52,3,7,39200539288,0,538,515,599,244
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xc_rt.c,tools/libxc/xc_rt.c,4,15,0,10,31,24,2,2,2,1,19,4,15,0,0,2,14,7,8,65,10,30,10,16,24,0,1,21,10,12,3,19,22,6,0,16,2,2,2,1,1,1,0,1,82944,0,3,3,3,2
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xenctrl.h,tools/libxc/include/xenctrl.h,0,5,0,307,1087,1305,1,1,1,1,5,0,5,0,0,1,3,3,3,2675,307,961,951,1,1305,14,126,2,2,2,1,436,437,436,0,1,1,1,1,1,0,0,0,0,36,1,1,1,1,1
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xl.c,tools/libxl/xl.c,3,23,1,54,291,37,6,6,7,1,27,3,23,1,0,11,67,6,9,380,54,275,54,197,37,0,16,86,8,23,327954,164,228,48,7,173,22,22,24,4,3,15,1,3,4352159,0,68,65,72,20
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xl.h,tools/libxl/xl.h,0,0,0,24,143,36,0,0,0,0,0,0,0,0,0,0,0,0,0,196,24,130,129,0,36,0,13,0,0,0,0,121,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xl_cmdimpl.c,tools/libxl/xl_cmdimpl.c,5,35,1,1099,6199,385,8,7,8,3,41,5,35,1,0,173,1128,7,121,7635,1099,6088,1030,4435,385,0,111,1457,8,139,2007005334,3503,4856,880,23,3953,206,188,222,38,6,314,2,6,208201754287,0,1326,1261,1455,572
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xl_cmdtable.c,tools/libxl/xl_cmdtable.c,1,18,1,8,522,22,6,6,6,5,20,1,18,1,0,1,6,6,6,552,8,515,501,509,22,0,7,3,3,3,5,13,18,6,0,12,6,6,6,5,3,3,3,3,3888,0,6,6,6,5
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,xsm.h,xen/include/xsm/xsm.h,0,0,0,133,564,28,0,0,0,0,0,0,0,0,0,0,0,0,0,714,31,84,83,0,25,555,45,0,0,0,0,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
