Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,SumCountOutput,AvgCountOutput,MaxCountOutput,CountPath,SumCountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"rotate(uint32_t,uint32_t)",Source\ThirdParty\SHA-256\sha256.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,0,4,1,1,0,0,0,1,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,safe_close_handle(HANDLE *),Source\memory_and_file_io.cpp,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,9,1,8,1,3,0,0,0,2,,,,2,,0,2,3,0,0,3,2,2,3,1,0,,,,,0,,1,,,,,0,,0,,,,
Function,safe_find_close(HANDLE *),Source\memory_and_file_io.cpp,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,9,1,8,1,3,0,0,0,2,,,,2,,0,2,3,0,0,3,2,2,3,1,0,,,,,0,,1,,,,,0,,0,,,,
Function,safe_unmap_view_of_file(void **),Source\memory_and_file_io.cpp,,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,15,0,12,1,5,0,1,2,4,,,,2,,0,3,4,0,0,4,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
Function,"separate_u32_into_high_and_low_u16s(u32,u16 *,u16 *)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,0,5,1,2,0,0,0,2,,,,1,,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,"separate_u64_into_high_and_low_u32s(u64,u32 *,u32 *)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,0,5,1,2,0,0,0,2,,,,1,,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,"set_exporter_output_copy_subdirectory(Exporter *,const TCHAR *)",Source\web_cache_exporter.cpp,,,,4,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,20,4,15,1,8,1,0,0,6,,,,4,,1,6,8,0,0,8,3,3,3,1,0,,,,,0,,1,,,,,0,,0,,,,
File,sha256.cpp,Source\ThirdParty\SHA-256\sha256.cpp,3,22,4,65,289,63,3,3,3,1,28,3,21,4,,,,0,,,,,,13,,,,,,,,,,,,,,42,3,7,414,65,274,47,209,63,4,12,,36,3,6,,236,,388,424,45,7,372,,,,,,8,8,8,1,,,2,6,0,2,64095,,,0,35,35,36,13
File,sha256.h,Source\ThirdParty\SHA-256\sha256.h,0,0,0,13,29,37,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,0,0,0,78,13,23,19,0,36,3,6,,0,0,0,,0,,19,19,19,0,0,,,,,,0,0,0,0,,,0,0,0,0,0,,,1,0,0,0,0
File,shockwave_plugin.cpp,Source\shockwave_plugin.cpp,9,46,2,47,179,87,8,7,9,1,56,9,42,2,,,,0,,,,,,3,,,,,,,,,,,,,,30,10,12,298,47,165,64,100,87,0,14,,29,10,12,,34,,84,106,36,0,70,,,,,,15,10,18,1,,,4,8,3,4,837624,,,0,25,20,28,3
