Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_look(vorbis_dsp_state *,vorbis_info_floor *)",lib\vorbis_floor1.c,,,,9,52,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,74,9,52,12,43,17,0,0,10.0,960.0,3.0,49.0,63,10,0,53,14.0,11.0,16.0,1.0,6.0,,,,,0.0,,3,0.0,,0.33,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_pack(vorbis_info_floor *,oggpack_buffer *)",lib\vorbis_floor1.c,,,,4,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,35,4,28,7,21,8,0,0,2.0,45.0,2.0,28.0,35,6,1,28,8.0,8.0,8.0,1.0,0.0,,,,,0.0,,2,0.0,,0.29,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_unpack(vorbis_info *,oggpack_buffer *)",lib\vorbis_floor1.c,,,,8,49,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,62,8,49,6,38,10,0,0,13.0,6000.0,4.0,43.0,59,5,1,53,17.0,17.0,20.0,14.0,30.0,,,,,30.0,,3,30.0,,0.2,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"icomp(const void *,const void *)",lib\vorbis_floor1.c,,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3,0,3,1,1,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,ilog(unsigned int),lib\vorbis_floor1.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8,0,8,2,5,0,0,0,1.0,2.0,0.0,4.0,5,1,0,4,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,ilog2(unsigned int),lib\vorbis_floor1.c,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9,0,9,2,6,0,0,0,1.0,4.0,1.0,5.0,7,1,0,6,3.0,3.0,3.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"inspect_error(int,int,int,int,const float *,const float *,vorbis_info_floor1 *)",lib\vorbis_floor1.c,,,,5,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,50,5,45,14,36,0,0,0,3.0,66.0,2.0,30.0,42,11,0,31,14.0,14.0,14.0,12.0,18.0,,,,,18.0,,4,17.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Struct,lsfit_acc,lib\vorbis_floor1.c,0.0,0.0,0.0,2,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,2,16,15,0,0,0,0,,,,,14,14,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"post_Y(int *,int *,int)",lib\vorbis_floor1.c,,,,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8,1,7,1,5,0,0,0,1.0,3.0,0.0,3.0,5,0,0,5,3.0,3.0,3.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"render_line(int,int,int,int,int,float *)",lib\vorbis_floor1.c,,,,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28,4,24,9,20,0,0,0,1.0,12.0,1.0,16.0,20,8,0,12,6.0,6.0,6.0,1.0,1.0,,,,,0.0,,2,0.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"render_line0(int,int,int,int,int,int *)",lib\vorbis_floor1.c,,,,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,28,4,24,9,20,0,0,0,2.0,12.0,1.0,16.0,20,8,0,12,6.0,6.0,6.0,1.0,1.0,,,,,0.0,,2,0.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"render_point(int,int,int,int,int)",lib\vorbis_floor1.c,,,,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,15,2,13,6,9,1,0,0,2.0,2.0,0.0,9.0,10,5,0,5,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.08,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,vorbis_dBquant(const float *),lib\vorbis_floor1.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6,0,6,2,4,0,0,0,1.0,3.0,0.0,4.0,6,1,0,5,3.0,3.0,3.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,File,vorbis_floor1.c,lib\vorbis_floor1.c,6.0,36.0,5.0,149,861,121,8.0,8.0,9.0,3.0,45.0,6.0,35.0,5.0,,,,0.0,,,,,,21.0,,,,,,,,,,,,,,1099,149,827,297,648,121,18,16,,,,571.0,739,210,2,527,,,,,,26.0,25.0,29.0,14.0,,,8,,,0.15,175.0,169.0,187.0,72.0
No,6b753fc40b3f1adfae93621974c8a709266211dc,File,jsapi.cpp,src\jsapi.cpp,0,0,0,913,5971,379,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,7232,876,5352,0,0,331,489,249,,,,21,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.06,0,0,0,0
Yes,cbb9822c3401ab4c2e3e5d3a73d1646b8beccace,File,jsapi.cpp,src\jsapi.cpp,0,0,0,913,5970,379,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,7230,876,5351,0,0,331,489,249,,,,21,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.06,0,0,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Class,nsDSURIContentListener,base\nsDSURIContentListener.h,3.0,23.0,4.0,67,378,65,4.0,4.0,4.0,3.0,31.0,3.0,22.0,4.0,2.0,7.0,0.0,,0.0,0.0,,,,,15.0,4.0,0.0,4.0,0.0,15.0,15.0,0.0,1.0,0.0,6.0,9.0,,509,67,372,114,213,65,4,2,,,,,218,55,0,163,,,,,,18.0,18.0,25.0,17.0,,1.0,4,,73.0,0.17,66.0,64.0,74.0,51.0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,File,nsDSURIContentListener.cpp,base\nsDSURIContentListener.cpp,4.0,25.0,4.0,78,371,73,5.0,5.0,5.0,3.0,33.0,4.0,24.0,4.0,,,,0.0,,,,,,14.0,,,,,,,,,,,,,,521,78,347,97,212,73,4,20,,,,154.0,226,63,0,163,,,,,,18.0,18.0,25.0,17.0,,,4,,,0.21,65.0,63.0,73.0,50.0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,File,nsDSURIContentListener.h,base\nsDSURIContentListener.h,0.0,3.0,0.0,14,42,11,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,66,14,35,26,1,11,0,7,,,,17.0,18,17,0,1,,,,,,1.0,1.0,1.0,1.0,,,0,,,0.31,1.0,1.0,1.0,1.0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,"nsDSURIContentListener::CanHandleContent(const char *,bool,char **,bool *)",base\nsDSURIContentListener.cpp,,,,3,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,23,3,20,7,12,0,0,0,7.0,2.0,0.0,9.0,10,2,0,8,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Protected Function,nsDSURIContentListener::CheckFrameOptions(nsIRequest *),base\nsDSURIContentListener.cpp,,,,6,39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,50,6,39,9,24,5,0,0,16.0,16.0,1.0,18.0,27,8,0,19,10.0,10.0,10.0,8.0,8.0,,,,,8.0,,4,8.0,,0.13,,,,
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Protected Function,"nsDSURIContentListener::CheckOneFrameOptionsPolicy(nsIHttpChannel *,const nsAString &)",base\nsDSURIContentListener.cpp,,,,17,87,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,131,17,87,20,63,28,0,0,23.0,138.0,2.0,42.0,59,14,0,45,18.0,18.0,25.0,17.0,25.0,,,,,24.0,,3,23.0,,0.32,,,,
