Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"icomp(const void *,const void *)",libvorbis\lib\vorbis_floor1.c,0,3,0,2,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,ilog(unsigned int),libtremor\lib\tremor_floor1.c,0,8,0,2,8,0,8,2,5,0,0,0,1,2,0,4,5,1,0,4,2,2,2,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,ilog(unsigned int),libvorbis\lib\vorbis_floor1.c,0,8,0,3,8,0,8,2,5,0,0,0,1,2,0,4,5,1,0,4,2,2,2,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,ilog2(unsigned int),libvorbis\lib\vorbis_floor1.c,0,9,0,2,9,0,9,2,6,0,0,0,1,4,1,5,7,1,0,6,3,3,3,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"inspect_error(int,int,int,int,const float *,const float *,vorbis_info_floor1 *)",libvorbis\lib\vorbis_floor1.c,5,45,0,12,50,5,45,14,36,0,0,0,3,66,2,30,42,11,0,31,14,14,14,12,18,18,4,17,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"post_Y(int *,int *,int)",libvorbis\lib\vorbis_floor1.c,1,7,0,4,8,1,7,1,5,0,0,0,1,3,0,3,5,0,0,5,3,3,3,3,2,2,1,2,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"render_line(int,int,int,int,int,float *)",libvorbis\lib\vorbis_floor1.c,4,24,0,7,28,4,24,9,20,0,0,0,1,12,1,16,20,8,0,12,6,6,6,1,1,0,2,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"render_line(int,int,int,int,int,ogg_int32_t *)",libtremor\lib\tremor_floor1.c,3,24,0,8,27,3,24,9,20,0,0,0,3,12,1,16,20,8,0,12,6,6,6,1,1,0,2,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"render_line0(int,int,int,int,int,int *)",libvorbis\lib\vorbis_floor1.c,4,24,0,6,28,4,24,9,20,0,0,0,2,12,1,16,20,8,0,12,6,6,6,1,1,0,2,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"render_point(int,int,int,int,int)",libtremor\lib\tremor_floor1.c,2,13,1,6,15,2,13,6,9,1,0,0,2,2,0,9,10,5,0,5,2,2,2,1,1,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"render_point(int,int,int,int,int)",libvorbis\lib\vorbis_floor1.c,2,13,1,8,15,2,13,6,9,1,0,0,2,2,0,9,10,5,0,5,2,2,2,1,1,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,vorbis_dBquant(const float *),libvorbis\lib\vorbis_floor1.c,0,6,0,3,6,0,6,2,4,0,0,0,1,3,0,4,6,1,0,5,3,3,3,3,2,2,1,2,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,floor1_free_info(vorbis_info_floor *),lib\tremor_floor1.c,0,7,0,2,7,0,7,2,4,0,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,floor1_free_look(vorbis_look_floor *),lib\tremor_floor1.c,0,7,0,1,7,0,7,2,4,0,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"floor1_inverse1(vorbis_block *,vorbis_look_floor *)",lib\tremor_floor1.c,13,68,5,18,86,13,68,22,54,5,0,0,6,79,2,42,54,17,1,36,14,14,14,8,20,18,5,16,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"floor1_inverse2(vorbis_block *,vorbis_look_floor *,void *,ogg_int32_t *)",lib\tremor_floor1.c,7,31,4,13,41,7,31,13,24,4,0,0,3,7,1,26,30,11,0,19,9,9,9,1,1,0,3,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"floor1_look(vorbis_dsp_state *,vorbis_info_mode *,vorbis_info_floor *)",lib\tremor_floor1.c,9,50,15,7,70,9,50,12,41,15,0,0,10,240,2,43,55,10,0,45,12,9,14,1,6,0,3,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"floor1_unpack(vorbis_info *,oggpack_buffer *)",lib\tremor_floor1.c,8,49,10,11,62,8,49,6,38,10,0,0,13,6000,4,43,59,5,1,53,17,17,20,14,30,30,3,30,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"icomp(const void *,const void *)",lib\tremor_floor1.c,0,3,0,2,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,ilog(unsigned int),lib\tremor_floor1.c,0,8,0,2,8,0,8,2,5,0,0,0,1,2,0,4,5,1,0,4,2,2,2,1,0,0,1,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"render_line(int,int,int,int,int,ogg_int32_t *)",lib\tremor_floor1.c,3,24,0,8,27,3,24,9,20,0,0,0,3,12,1,16,20,8,0,12,6,6,6,1,1,0,2,0,0
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,Static Function,"render_point(int,int,int,int,int)",lib\tremor_floor1.c,2,13,1,6,15,2,13,6,9,1,0,0,2,2,0,9,10,5,0,5,2,2,2,1,1,0,1,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"accumulate_fit(const float *,const float *,int,int,lsfit_acc *,int,vorbis_info_floor1 *)",lib\vorbis_floor1.c,6,43,0,9,49,6,43,6,35,0,0,0,18,8,1,34,38,3,0,35,5,5,5,1,1,0,3,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"fit_line(lsfit_acc *,int,int *,int *,vorbis_info_floor1 *)",lib\vorbis_floor1.c,8,50,1,21,59,8,50,10,40,1,0,0,4,136,2,38,46,8,0,38,9,9,9,1,1,0,2,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Function,"floor1_encode(oggpack_buffer *,vorbis_block *,vorbis_look_floor1 *,int *,int *)",lib\vorbis_floor1.c,23,156,26,28,199,23,134,39,108,26,18,4,12,11449,4,97,122,35,0,87,26,23,27,7,14,6,6,3,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Function,"floor1_fit(vorbis_block *,vorbis_look_floor1 *,const float *,const float *)",lib\vorbis_floor1.c,20,118,25,12,154,20,118,40,93,25,0,0,8,95712,5,95,119,37,0,82,25,25,29,11,10,7,8,4,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,floor1_free_info(vorbis_info_floor *),lib\vorbis_floor1.c,0,7,0,2,7,0,7,2,4,0,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,floor1_free_look(vorbis_look_floor *),lib\vorbis_floor1.c,1,7,4,1,12,1,7,2,4,4,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
