Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[379, 383]",default,Static,Static Function,"inject_pabt32_exception(struct cpu_user_regs *,register_t)",xen/arch/arm/traps.c,0,5,0,3,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[290, 308]",default,Static,Static Function,inject_undef32_exception(struct cpu_user_regs *),xen/arch/arm/traps.c,4,11,4,7,19,4,11,4,8,4,0,0,8,1,8,8,3,0,5,2,2,2,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1653, 1665]",default,none,Function,leave_hypervisor_tail(),xen/arch/arm/traps.c,0,13,0,0,13,0,13,1,7,0,0,0,7,3,5,7,0,0,7,3,3,3,3,2,2,2,2,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[503, 531]",default,Static,Static Function,mode_string(uint32_t),xen/arch/arm/traps.c,1,28,0,2,29,1,19,20,22,0,7,2,2,2,5,6,2,0,4,3,3,3,1,1,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[241, 257]",default,none,Function,panic_PAR(uint64_t),xen/arch/arm/traps.c,3,14,0,1,17,3,14,5,10,0,0,0,4,1,7,7,4,0,3,3,3,3,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[90, 102]",default,Static,Static Function,print_xen_info(),xen/arch/arm/traps.c,1,12,0,1,13,1,8,2,5,0,1,3,6,1,2,2,1,0,1,2,2,2,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[104, 170]",default,none,Function,"select_user_reg(struct cpu_user_regs *,int)",xen/arch/arm/traps.c,2,56,16,6,67,1,7,1,4,5,52,5,3,2,3,4,0,0,4,2,2,2,1,1,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[951, 955]",default,none,Function,show_execution_state(struct cpu_user_regs *),xen/arch/arm/traps.c,0,5,0,4,5,0,5,1,2,0,0,0,2,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[762, 851]",default,Static,Static Function,"show_guest_stack(struct vcpu *,struct cpu_user_regs *)",xen/arch/arm/traps.c,11,79,0,12,90,11,62,6,46,0,11,6,7,58,36,52,5,0,47,16,8,17,11,30,30,2,30,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[717, 737]",default,none,Function,show_registers(struct cpu_user_regs *),xen/arch/arm/traps.c,1,20,0,2,21,1,13,2,9,0,4,3,12,1,10,10,1,0,9,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[533, 607]",default,Static,Static Function,"show_registers_32(struct cpu_user_regs *,struct reg_ctxt *,int,const struct vcpu *)",xen/arch/arm/traps.c,3,72,0,49,75,3,54,4,47,0,7,11,3,8,22,25,0,0,25,4,4,4,1,1,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[924, 949]",default,none,Function,show_stack(struct cpu_user_regs *),xen/arch/arm/traps.c,5,21,0,4,26,5,21,3,15,0,0,0,5,11,13,18,2,0,16,6,6,7,4,3,3,2,3,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[889, 922]",default,Static,Static Function,show_trace(struct cpu_user_regs *),xen/arch/arm/traps.c,9,22,3,6,34,9,22,3,16,3,0,0,2,3,16,18,1,3,14,3,3,4,3,2,2,2,2,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[957, 975]",default,none,Function,vcpu_show_execution_state(struct vcpu *),xen/arch/arm/traps.c,4,15,1,7,19,4,15,1,10,1,0,0,8,3,7,9,0,0,9,3,3,3,1,1,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[739, 760]",default,none,Function,vcpu_show_registers(const struct vcpu *),xen/arch/arm/traps.c,2,20,0,15,22,2,13,2,9,0,4,3,9,1,10,10,1,0,9,1,1,1,1,0,0,0,0,0
