Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,none,Function,vmx_update_debug_state(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,3,14,0,7,17,3,14,2,10,0,0,0,6,4,8,10,1,0,9,3,3,3,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_update_eoi_exit_bitmap(struct vcpu *,u8,u8)",xen/arch/x86/hvm/vmx/vmx.c,0,7,0,3,7,0,7,1,4,0,0,0,2,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,none,Function,vmx_update_exception_bitmap(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,0,7,0,9,7,0,7,1,4,0,0,0,3,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_update_guest_cr(struct vcpu *,unsigned int)",xen/arch/x86/hvm/vmx/vmx.c,18,110,13,16,141,18,110,7,85,13,0,0,24,1797,55,82,5,0,77,28,25,32,1,14,0,5,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_update_guest_efer(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,4,15,0,5,19,4,15,2,11,0,0,0,6,4,8,10,1,0,9,3,3,3,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_update_host_cr3(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,0,6,0,3,6,0,6,1,3,0,0,0,3,1,3,3,0,0,3,1,1,1,1,0,0,0,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,none,Function,vmx_update_secondary_exec_control(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,0,9,0,6,9,0,9,1,6,0,0,0,3,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_vcpu_destroy(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,0,6,0,1,6,0,6,1,3,0,0,0,3,1,3,3,0,0,3,1,1,1,1,0,0,0,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_vcpu_initialise(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,7,20,1,5,28,7,20,2,14,1,0,0,13,3,11,13,1,0,12,3,3,3,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_virtual_intr_delivery_enabled(),xen/arch/x86/hvm/vmx/vmx.c,0,4,0,0,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
