Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,a00a3e1aa2844d4819d74e9b1df6eb66a6e07252,File,libelf.h,xen\libelf.h,0,5,0,89,280,134,1,1,1,1,5,0,5,0,0,6,16,3,4,489,89,186,158,13,134,7,93,10,2,3,8,144,152,140,0,12,3,3,3,1,1,1,0,1,1264,0,8,8,8,6
No,e7719a0dfac7a20cb7da5529e09773d8271bb78b,File,event.h,include\xen\event.h,0,6,0,33,126,55,1,1,1,1,6,0,6,0,0,11,41,4,5,211,33,94,51,20,55,0,32,21,2,2,16,42,57,37,0,20,2,2,2,1,1,5,0,1,1140,0,16,16,16,11
No,e7719a0dfac7a20cb7da5529e09773d8271bb78b,File,event_2l.c,common\event_2l.c,1,8,1,18,68,27,1,1,2,1,10,1,8,1,0,7,50,4,5,113,18,63,24,37,27,0,5,64,5,7,20,20,30,15,0,15,3,3,4,1,1,4,0,1,35136,0,10,10,15,7
No,e7719a0dfac7a20cb7da5529e09773d8271bb78b,File,event_channel.c,common\event_channel.c,5,25,1,297,1083,74,6,5,6,3,31,5,25,1,0,42,583,7,23,1449,297,1033,150,716,74,11,39,661,8,24,1414,623,849,148,0,701,38,25,45,30,3,110,1,3,74612018,0,232,195,258,145
No,e7719a0dfac7a20cb7da5529e09773d8271bb78b,File,event_fifo.c,common\event_fifo.c,4,15,3,129,423,105,3,3,4,2,22,4,15,3,0,26,551,5,16,657,129,413,94,254,105,0,10,518,5,17,2108,228,313,76,1,236,12,12,14,8,3,121,1,3,14377295,0,87,87,91,56
No,e7719a0dfac7a20cb7da5529e09773d8271bb78b,File,irq.c,arch\x86\irq.c,5,26,1,468,2091,149,5,5,6,2,32,5,26,1,0,79,586,7,29,2700,468,2066,322,1372,149,0,25,678,9,36,104918,1117,1504,295,6,1203,27,27,38,17,5,113,1,5,224864064,0,400,395,473,223
Yes,0762e2502f1fa955176c3f17c0cfb3916498428f,File,irq.c,x86\irq.c,5,26,1,468,2093,149,5,5,6,2,32,5,26,1,0,79,580,7,29,2702,468,2068,323,1373,149,0,25,680,9,36,104918,1119,1505,295,6,1204,27,27,38,17,5,113,1,5,225257162,0,400,395,473,223
Yes,d89f48f58ee5568fc58c574690b06cb10e2ed7f7,File,event_2l.c,common\event_2l.c,1,7,1,16,66,27,1,1,2,1,10,1,7,1,0,7,50,4,5,109,16,61,24,33,27,0,5,64,5,7,20,16,26,13,0,13,3,3,4,1,1,4,0,1,35136,0,10,10,13,7
Yes,d89f48f58ee5568fc58c574690b06cb10e2ed7f7,File,event_channel.c,common\event_channel.c,5,25,1,297,1083,74,6,5,6,3,31,5,25,1,0,42,583,7,23,1449,297,1033,150,716,74,11,39,661,8,24,1414,623,849,148,0,701,38,25,45,30,3,110,1,3,74612018,0,232,195,258,145
Yes,d89f48f58ee5568fc58c574690b06cb10e2ed7f7,File,event_fifo.c,common\event_fifo.c,4,15,3,126,423,100,3,3,4,2,22,4,15,3,0,26,551,5,16,649,126,413,96,252,100,0,10,518,5,17,2108,226,311,76,1,234,12,12,14,8,3,121,1,3,14377295,0,87,87,91,56
Yes,78e24c269b0a4a8b864ece725e6d4209ed95dfa7,File,event.h,xen\event.h,0,6,0,33,126,55,1,1,1,1,6,0,6,0,0,11,41,4,5,211,33,94,51,20,55,0,32,16,1,2,16,42,58,38,0,20,2,2,2,1,1,5,0,1,888,0,16,16,16,11
No,999d2ccb7f73408aa22656e1ba2f98b077eaa1c2,File,grant_table.c,common\grant_table.c,7,42,3,553,2796,340,8,8,9,4,52,7,41,3,0,63,2295,9,31,3672,545,2663,438,1698,340,68,74,2618,10,54,5124272,1457,1928,311,9,1608,56,56,70,28,5,444,2,5,2263518537,0,504,487,579,309
Yes,c98e9ec647df00a5726e00c93bd69a4d5a2d88e7,File,grant_table.c,common\grant_table.c,7,42,3,553,2789,329,8,8,9,4,52,7,41,3,0,63,2295,9,31,3654,545,2656,438,1693,329,68,74,2618,10,54,5124272,1451,1921,311,9,1601,56,56,70,28,5,444,2,5,2263518537,0,503,486,578,308
No,ad48fb963dbff02762d2db5396fa655ac0c432c7,File,grant_table.c,common\grant_table.c,7,42,3,553,2807,344,8,8,9,4,53,7,42,3,0,63,2295,9,31,3687,545,2674,436,1713,344,68,74,2618,10,54,5124272,1459,1933,309,9,1615,56,56,70,28,5,444,2,5,2263518537,0,506,488,593,312
Yes,999d2ccb7f73408aa22656e1ba2f98b077eaa1c2,File,grant_table.c,common\grant_table.c,7,42,3,553,2796,340,8,8,9,4,52,7,41,3,0,63,2295,9,31,3672,545,2663,438,1698,340,68,74,2618,10,54,5124272,1457,1928,311,9,1608,56,56,70,28,5,444,2,5,2263518537,0,504,487,579,309
No,ca617570542e1d7d8de636d5396959bbf1dabab7,File,grant_table.c,compat\grant_table.c,26,274,0,42,312,13,56,44,62,19,300,26,210,0,0,1,40,20,20,367,42,225,42,143,13,0,87,56,28,28,59204,127,185,34,1,150,56,44,62,19,5,10,5,5,89689600,0,56,44,62,19
Yes,4ef6b5f16c8a91cf6592f8817720a9de95b7052c,File,grant_table.c,compat\grant_table.c,26,274,0,42,312,13,56,44,62,19,300,26,210,0,0,1,40,20,20,367,42,225,42,143,13,0,87,56,28,28,59204,127,185,34,1,150,56,44,62,19,5,10,5,5,89689600,0,56,44,62,19
