Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"realmode_load_seg(enum x86_segment,uint16_t,struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,3,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,18,3,15,8,5,0,0,0,5.0,2.0,0.0,6.0,7,2,0,5,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"test_cc(unsigned int,unsigned int)",x86_emulate\x86_emulate.c,,,,2,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,37,2,33,4,26,10,0,0,1.0,9.0,1.0,17.0,26,1,0,25,9.0,2.0,9.0,9.0,27.0,,,,,27.0,,1,27.0,,0.3,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"vcpu_has(unsigned int,unsigned int,unsigned int,struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,2,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,29,2,27,8,14,0,0,0,3.0,22.0,1.0,17.0,25,2,0,23,10.0,7.0,10.0,3.0,12.0,,,,,2.0,,2,2.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Union,vex,x86_emulate\x86_emulate.c,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13,0,13,11,0,0,0,0,,,,,10,10,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Function,"x86_emulate(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,231,2868,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,3207,228,2785,322,2373,517,68,18,90.0,999999999.0,29.0,4752.0,6583,481,150,5952,3084.0,2623.0,3172.0,1711.0,83229.0,,,,,82928.0,,8,82914.0,,0.19,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,File,x86_emulate.c,x86_emulate\x86_emulate.c,12.0,143.0,24.0,352,3894,726,140.0,118.0,144.0,77.0,161.0,12.0,139.0,24.0,,,,0.0,,,,,,23.0,,,,,,,,,,,,,,4527,349,3404,619,2768,722,101,417,,,,4981.0,6926,567,154,6205,,,,,,3084.0,2623.0,3172.0,1711.0,,,8,,,0.21,3211.0,2725.0,3315.0,1791.0
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"__put_rep_prefix(struct cpu_user_regs *,struct cpu_user_regs *,int,unsigned long)",x86_emulate\x86_emulate.c,,,,2,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,22,2,19,8,12,1,0,0,3.0,6.0,1.0,6.0,9,1,0,8,6.0,6.0,6.0,1.0,2.0,,,,,0.0,,1,0.0,,0.05,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"_get_rep_prefix(const struct cpu_user_regs *,int)",x86_emulate\x86_emulate.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8,0,8,3,3,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,3.0,3.0,3.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"_mode_iopl(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10,0,10,5,4,0,0,0,2.0,2.0,0.0,3.0,4,1,0,3,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Function,"decode_register(uint8_t,struct cpu_user_regs *,int)",x86_emulate\x86_emulate.c,,,,2,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,39,2,27,4,19,0,8,2,2.0,9.0,1.0,21.0,30,1,0,29,13.0,6.0,13.0,1.0,36.0,,,,,0.0,,1,0.0,,0.0,,,,
