Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,8fa48cbdfb0b7c2e39a8f2a46f987afe9b9c0579,File,sco.c,bluetooth\sco.c,5,17,0,270,804,48,3,3,4,2,23,5,17,0,0,43,526,6,14,1122,270,798,159,584,48,0,6,648,8,19,444,451,596,119,0,477,8,7,8,6,2,90,1,2,8699942,0,142,136,153,92
No,2d6fbfe733f35c6b355c216644e08e149c61b271,File,caif_socket.c,caif\caif_socket.c,4,24,3,161,816,151,5,4,5,3,30,4,24,3,0,31,408,7,18,1124,161,794,172,604,151,0,22,516,8,33,58844,449,596,107,6,483,23,17,26,19,3,54,1,3,96090864,0,146,133,170,105
Yes,c76562b6709fee5eff8a6a779be41c0bce661fd7,File,caif_socket.c,caif\caif_socket.c,4,24,3,160,815,151,5,4,5,3,30,4,24,3,0,31,408,7,18,1122,160,793,172,603,151,0,22,516,8,33,58844,448,595,107,6,482,23,17,26,19,3,54,1,3,96090864,0,146,133,170,105
No,9955ac47f4ba1c95ecb6092aeaefb40a22e99268,File,traps.c,kernel\traps.c,2,14,1,57,249,42,3,3,3,1,17,2,13,1,0,15,128,4,9,348,57,209,52,132,41,11,32,178,6,14,120,118,155,43,0,112,6,6,7,3,4,30,1,4,1067134,0,38,38,45,19
Yes,953dbbed9ee310100bc841cdea8f992d192531c6,File,traps.c,kernel\traps.c,2,14,1,56,244,42,3,3,3,1,17,2,13,1,0,15,128,4,9,342,56,204,50,128,41,11,32,178,6,14,120,113,150,41,0,109,6,6,7,3,4,30,1,4,1067134,0,38,38,45,19
No,637b58c2887e5e57850865839cc75f59184b23d1,File,pipe.c,fs\pipe.c,3,20,2,162,887,179,4,4,5,2,24,3,20,2,0,41,716,6,22,1225,162,866,187,605,179,0,21,726,6,31,94109301,473,648,134,6,508,35,35,38,20,4,149,1,4,234300211,0,177,174,192,108
Yes,fbb32750a62df75d1ffea547f3908b21c5496d9f,File,pipe.c,fs\pipe.c,3,20,2,169,936,186,4,4,5,2,25,3,20,2,0,43,716,6,22,1288,169,915,192,640,186,0,21,726,6,31,94109301,495,683,137,6,540,35,35,38,20,4,149,1,4,234300211,0,190,187,205,117
Yes,fb9096a344e2964c6a71520931c08abb1301248e,File,pipe.c,fs\pipe.c,3,20,2,161,882,179,4,4,5,2,24,3,20,2,0,41,716,6,22,1219,161,861,184,603,179,0,21,726,6,31,94109301,469,644,132,6,506,35,35,38,20,4,149,1,4,234300211,0,177,174,192,108
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,File,uio.h,linux\uio.h,0,6,0,15,65,16,2,2,2,1,7,0,6,0,0,4,14,4,6,95,15,55,35,12,16,0,10,8,2,4,6,32,38,29,0,9,2,2,2,1,1,2,0,1,2992,0,6,6,6,4
Yes,91f79c43d1b54d7154b118860d81b39bad07dfff,File,iov_iter.c,mm\iov_iter.c,2,24,1,32,275,26,4,4,4,2,26,2,24,1,0,11,80,7,10,331,32,270,73,185,26,0,5,62,6,15,81,183,223,62,0,161,7,7,9,4,3,15,1,3,1259855,0,42,42,48,23
