Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"crypto_grab_nivcipher(struct crypto_skcipher_spawn *,const char *,u32,u32)",crypto\blkcipher.c,,,,3,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,17,3,14,4,8,0,0,0,8.0,2.0,0.0,9,10,2,0,8,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"crypto_init_blkcipher_ops(struct crypto_tfm *,u32,u32)",crypto\blkcipher.c,,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,12,2,10,2,7,0,0,0,3.0,3.0,0.0,4,6,1,0,5,3.0,3.0,3.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,crypto_init_blkcipher_ops_async(struct crypto_tfm *),crypto\blkcipher.c,,,,2,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,17,2,15,3,11,0,0,0,9.0,2.0,0.0,10,11,2,0,9,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,crypto_init_blkcipher_ops_sync(struct crypto_tfm *),crypto\blkcipher.c,,,,3,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,18,3,15,5,11,0,0,0,8.0,1.0,0.0,12,12,4,0,8,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"setkey(struct crypto_tfm *,const u8 *,unsigned int)",crypto\blkcipher.c,,,,3,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,15,3,12,3,8,0,0,0,5.0,3.0,0.0,6,8,2,0,6,3.0,3.0,4.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"setkey_unaligned(struct crypto_tfm *,const u8 *,unsigned int)",crypto\blkcipher.c,,,,2,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,21,2,19,7,12,0,0,0,8.0,2.0,0.0,14,15,5,0,10,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,"skcipher_geniv_alloc(struct crypto_template *,struct rtattr **,u32,u32)",crypto\blkcipher.c,,,,23,102,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,131,23,102,19,76,6,0,0,32.0,68.0,2.0,69,81,14,0,67,13.0,13.0,13.0,11.0,25.0,,,,,24.0,,2,24.0,,0.06,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,skcipher_geniv_exit(struct crypto_tfm *),crypto\blkcipher.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4,0,4,1,1,0,0,0,1.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,skcipher_geniv_free(struct crypto_instance *),crypto\blkcipher.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5,0,5,1,2,0,0,0,3.0,1.0,0.0,2,2,0,0,2,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,skcipher_geniv_init(struct crypto_tfm *),crypto\blkcipher.c,,,,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14,3,11,3,7,0,0,0,10.0,2.0,0.0,7,8,2,0,6,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
