Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_lookup(struct svc_rqst *,struct nfsd3_diropargs *,struct nfsd3_diropres *)",nfsd\nfs3proc.c,3,17,0,8,20,3,17,4,11,0,0,0,8,1,0,8,8,1,1,6,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_mkdir(struct svc_rqst *,struct nfsd3_createargs *,struct nfsd3_diropres *)",nfsd\nfs3proc.c,3,16,0,9,19,3,16,4,10,0,0,0,10,1,0,9,9,1,1,7,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_mknod(struct svc_rqst *,struct nfsd3_mknodargs *,struct nfsd3_diropres *)",nfsd\nfs3proc.c,5,28,0,13,33,5,28,6,21,0,0,0,11,5,1,21,25,3,4,18,5,5,9,5,6,6,2,6,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_null(struct svc_rqst *,void *,void *)",nfsd\nfs3proc.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_pathconf(struct svc_rqst *,struct nfsd_fhandle *,struct nfsd3_pathconfres *)",nfsd\nfs3proc.c,6,30,5,7,38,6,30,5,22,5,0,0,13,4,1,20,24,2,1,21,4,3,4,1,1,0,2,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_read(struct svc_rqst *,struct nfsd3_readargs *,struct nfsd3_readres *)",nfsd\nfs3proc.c,7,25,4,13,36,7,25,6,18,4,0,0,11,4,1,13,15,3,1,11,3,3,3,1,0,0,1,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_readdir(struct svc_rqst *,struct nfsd3_readdirargs *,struct nfsd3_readdirres *)",nfsd\nfs3proc.c,5,23,3,13,31,5,23,5,16,3,0,0,15,2,0,16,17,2,1,14,2,2,2,1,0,0,1,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_readdirplus(struct svc_rqst *,struct nfsd3_readdirargs *,struct nfsd3_readdirres *)",nfsd\nfs3proc.c,6,45,4,17,55,6,45,8,33,4,0,0,19,9,1,29,33,5,1,27,5,5,6,3,3,3,2,2,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_readlink(struct svc_rqst *,struct nfsd3_readlinkargs *,struct nfsd3_readlinkres *)",nfsd\nfs3proc.c,2,11,1,7,14,2,11,4,5,1,0,0,8,1,0,8,8,1,1,6,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_remove(struct svc_rqst *,struct nfsd3_diropargs *,struct nfsd3_attrstat *)",nfsd\nfs3proc.c,2,13,1,7,16,2,13,4,7,1,0,0,7,1,0,7,7,1,1,5,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_rename(struct svc_rqst *,struct nfsd3_renameargs *,struct nfsd3_renameres *)",nfsd\nfs3proc.c,2,19,0,11,21,2,19,4,13,0,0,0,7,1,0,9,9,1,1,7,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_rmdir(struct svc_rqst *,struct nfsd3_diropargs *,struct nfsd3_attrstat *)",nfsd\nfs3proc.c,2,13,0,7,15,2,13,4,7,0,0,0,7,1,0,7,7,1,1,5,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_setattr(struct svc_rqst *,struct nfsd3_sattrargs *,struct nfsd3_attrstat *)",nfsd\nfs3proc.c,2,12,0,8,14,2,12,4,6,0,0,0,7,1,0,7,7,1,1,5,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_symlink(struct svc_rqst *,struct nfsd3_symlinkargs *,struct nfsd3_diropres *)",nfsd\nfs3proc.c,2,16,0,11,18,2,16,4,10,0,0,0,8,1,0,8,8,1,1,6,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_write(struct svc_rqst *,struct nfsd3_writeargs *,struct nfsd3_writeres *)",nfsd\nfs3proc.c,2,20,0,12,22,2,20,4,14,0,0,0,9,1,0,9,9,1,1,7,2,2,2,1,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"do_open_fhandle(struct svc_rqst *,struct svc_fh *,struct nfsd4_open *)",nfsd\nfs4proc.c,7,16,5,15,28,7,16,4,11,5,0,0,9,2,0,8,9,1,0,8,2,2,3,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"do_open_lookup(struct svc_rqst *,struct svc_fh *,struct nfsd4_open *)",nfsd\nfs4proc.c,6,29,5,19,40,6,29,4,21,5,0,0,14,4,1,15,17,2,0,15,3,3,3,1,2,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"do_open_permission(struct svc_rqst *,struct svc_fh *,struct nfsd4_open *,int)",nfsd\nfs4proc.c,4,16,0,9,20,4,16,3,11,0,0,0,2,9,1,7,11,1,0,10,5,5,6,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"fh_dup2(struct svc_fh *,struct svc_fh *)",nfsd\nfs4proc.c,0,9,0,9,9,0,9,2,5,0,0,0,5,2,0,4,5,0,0,5,2,2,2,1,0,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_access(struct svc_rqst *,struct svc_fh *,struct nfsd4_access *)",nfsd\nfs4proc.c,1,8,0,7,9,1,8,2,4,0,0,0,4,2,0,3,4,0,0,4,2,2,2,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_commit(struct svc_rqst *,struct svc_fh *,struct nfsd4_commit *)",nfsd\nfs4proc.c,2,12,0,10,14,2,12,4,7,0,0,0,2,2,0,7,8,2,0,6,2,2,2,1,0,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_create(struct svc_rqst *,struct svc_fh *,struct nfsd4_create *)",nfsd\nfs4proc.c,12,64,7,13,83,12,64,5,55,7,0,0,15,34,2,31,43,3,0,40,12,7,14,10,36,36,2,36,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_getattr(struct svc_rqst *,struct svc_fh *,struct nfsd4_getattr *)",nfsd\nfs4proc.c,4,14,0,5,18,4,14,3,9,0,0,0,3,3,0,8,10,1,0,9,3,3,3,3,2,2,1,2,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_getfh(struct svc_fh *,struct svc_fh **)",nfsd\nfs4proc.c,1,8,0,3,9,1,8,2,4,0,0,0,2,2,0,3,4,0,0,4,2,2,2,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,nfsd4_increment_op_stats(u32),nfsd\nfs4proc.c,0,5,0,3,5,0,5,1,2,0,0,0,1,2,0,1,2,0,0,2,2,2,3,1,0,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_link(struct svc_rqst *,struct svc_fh *,struct svc_fh *,struct nfsd4_link *)",nfsd\nfs4proc.c,1,12,0,9,13,1,12,4,7,0,0,0,3,3,0,5,7,1,0,6,3,3,3,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_lookup(struct svc_rqst *,struct svc_fh *,struct nfsd4_lookup *)",nfsd\nfs4proc.c,0,5,0,6,5,0,5,2,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_lookupp(struct svc_rqst *,struct svc_fh *)",nfsd\nfs4proc.c,1,16,0,6,17,1,16,4,9,0,0,0,5,3,0,8,10,2,0,8,3,3,3,3,2,2,1,2,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_open(struct svc_rqst *,struct svc_fh *,struct nfsd4_open *,struct nfs4_stateowner **)",nfsd\nfs4proc.c,5,69,22,15,96,5,69,4,60,22,0,0,20,481,3,38,53,2,0,51,15,12,18,12,28,27,2,27,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_proc_compound(struct svc_rqst *,struct nfsd4_compoundargs *,struct nfsd4_compoundres *)",nfsd\nfs4proc.c,11,201,24,55,235,11,201,10,182,24,0,0,57,147488,5,121,171,6,0,165,50,18,65,10,572,11,3,10,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_proc_null(struct svc_rqst *,void *,void *)",nfsd\nfs4proc.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_putfh(struct svc_rqst *,struct svc_fh *,struct nfsd4_putfh *)",nfsd\nfs4proc.c,0,8,0,8,8,0,8,2,4,0,0,0,7,1,0,4,4,0,0,4,1,1,1,1,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_putrootfh(struct svc_rqst *,struct svc_fh *)",nfsd\nfs4proc.c,1,9,0,5,10,1,9,3,4,0,0,0,3,1,0,4,4,1,0,3,1,1,1,1,0,0,0,0,0
