Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_pipeinfo,zr364xx\zr364xx.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_buffer,zr364xx\zr364xx.c,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_bufferi,zr364xx\zr364xx.c,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_camera,zr364xx\zr364xx.c,0,0,0,3,26,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,29,3,26,25,0,4,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_dmaqueue,zr364xx\zr364xx.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_fmt,zr364xx\zr364xx.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_framei,zr364xx\zr364xx.c,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,5,4,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,Struct,zr364xx_pipeinfo,zr364xx\zr364xx.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,0c4df39e504bf925ab666132ac3c98d6cbbe380b,Struct,technisat_usb2_state,dvb-usb\technisat-usb2.c,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,9,2,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,c0decac19da3906d9b66291e57b7759489e1170f,Struct,technisat_usb2_state,dvb-usb\technisat-usb2.c,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,9,2,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
