File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,Last Change Git Commit Hash,CVEs
fs/pipe.c,15,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,84c3d55cc474f9c234c023c92e2769f940d5548c,fb9096a344e2964c6a71520931c08abb1301248e,"[""CVE-2015-1805""]"
include/linux/uio.h,15,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,84c3d55cc474f9c234c023c92e2769f940d5548c,0c949334a9e2581646c6ff0d1470a805b1e5be99,"[""CVE-2015-1805""]"
mm/iov_iter.c,15,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,84c3d55cc474f9c234c023c92e2769f940d5548c,91f79c43d1b54d7154b118860d81b39bad07dfff,"[""CVE-2015-1805""]"
arch/x86/mm/mmap.c,16,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,f47233c2d34f243ecdaac179c3408a39ff9216a7,cc99535eb4049c730cac421d403d079593cb31ae,"[""CVE-2015-1593""]"
fs/binfmt_elf.c,16,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,f47233c2d34f243ecdaac179c3408a39ff9216a7,c0222ac086669a631814bbf857f8c8023452a4d7,"[""CVE-2015-1593""]"
fs/cifs/sess.c,17,cabfb3680f78981d26c078a26e5c748531257ebb,7fb8986e7449d0a5cebd84d059927afa423fbf85,da502f7df03d2d0b416775f92ae022f3f82bedd5,"[""CVE-2018-1066""]"
fs/cifs/smb2pdu.c,17,cabfb3680f78981d26c078a26e5c748531257ebb,7fb8986e7449d0a5cebd84d059927afa423fbf85,7fb8986e7449d0a5cebd84d059927afa423fbf85,"[""CVE-2018-1066""]"
net/sctp/sm_make_chunk.c,18,07f2c7ab6f8d0a7e7c5764c4e6cc9c52951b9d9c,1c5b2216fbb973a9410e0b06389740b5c1289171,594831a8aba3fd045c3212a3e3bb9788c77b989d,"[""CVE-2018-5803""]"
drivers/media/usb/zr364xx/zr364xx.c,19,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,75417060e95c1c4fd916458389ba68d883da99c8,3e4d8f48b9bfff7585135d096132df9653be9377,"[""CVE-2019-15217""]"
drivers/media/usb/dvb-usb/technisat-usb2.c,20,0c4df39e504bf925ab666132ac3c98d6cbbe380b,5dd4b89dc098bf22cd13e82a308f42a02c102b2b,c0decac19da3906d9b66291e57b7759489e1170f,"[""CVE-2019-15505""]"
net/rds/recv.c,21,7d0a06586b2686ba80c4a2da5f91cb10ffbea736,2c1644cf6d46a8267d79ed95cb9b563839346562,3eb450367d0823226515ee24712ed08eccb33eb9,"[""CVE-2019-16714""]"
