Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,cabfb3680f78981d26c078a26e5c748531257ebb,Struct,sess_data,cifs/sess.c,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,17,1,9,8,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7fb8986e7449d0a5cebd84d059927afa423fbf85,Struct,SMB2_sess_data,cifs/smb2pdu.c,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,18,1,10,9,0,7,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7fb8986e7449d0a5cebd84d059927afa423fbf85,Struct,sess_data,cifs/sess.c,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,17,1,9,8,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,07f2c7ab6f8d0a7e7c5764c4e6cc9c52951b9d9c,Struct,__sctp_missing,sctp/sm_make_chunk.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1c5b2216fbb973a9410e0b06389740b5c1289171,Struct,__sctp_missing,sctp/sm_make_chunk.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_buffer,zr364xx/zr364xx.c,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_bufferi,zr364xx/zr364xx.c,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_camera,zr364xx/zr364xx.c,0,0,0,3,26,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,29,3,26,25,0,4,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_dmaqueue,zr364xx/zr364xx.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_fmt,zr364xx/zr364xx.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_framei,zr364xx/zr364xx.c,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,5,4,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_pipeinfo,zr364xx/zr364xx.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,75417060e95c1c4fd916458389ba68d883da99c8,Struct,zr364xx_buffer,zr364xx/zr364xx.c,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,75417060e95c1c4fd916458389ba68d883da99c8,Struct,zr364xx_bufferi,zr364xx/zr364xx.c,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,75417060e95c1c4fd916458389ba68d883da99c8,Struct,zr364xx_camera,zr364xx/zr364xx.c,0,0,0,3,26,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,29,3,26,25,0,4,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,75417060e95c1c4fd916458389ba68d883da99c8,Struct,zr364xx_dmaqueue,zr364xx/zr364xx.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,75417060e95c1c4fd916458389ba68d883da99c8,Struct,zr364xx_fmt,zr364xx/zr364xx.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,75417060e95c1c4fd916458389ba68d883da99c8,Struct,zr364xx_framei,zr364xx/zr364xx.c,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,5,4,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
